FUN_004868-T1 XP_014564222.1
FUN_003433-T1 XP_014563040.1
FUN_003449-T1 XP_014564362.1
FUN_003452-T1 XP_014563790.1
FUN_003453-T1 XP_014563850.1
FUN_003456-T1 XP_014563042.1
FUN_003459-T1 XP_014563588.1
FUN_003466-T1 XP_014564378.1
FUN_003467-T1 XP_014564569.1
FUN_003468-T1 XP_014563333.1
FUN_003477-T1 XP_014563847.1
FUN_003478-T1 XP_014563392.1
FUN_003479-T1 XP_014563032.1
FUN_003482-T1 XP_014563087.1
FUN_003487-T1 XP_014563182.1
FUN_003490-T1 XP_014563709.1
FUN_003491-T1 XP_014563028.1
FUN_003492-T1 XP_014563015.1
FUN_003493-T1 XP_014563027.1
FUN_003495-T1 XP_014563970.1
FUN_003496-T1 XP_014563841.1
FUN_003497-T1 XP_014563806.1
FUN_003505-T1 XP_014563900.1
FUN_003511-T1 XP_014563372.1
FUN_003516-T1 XP_014563019.1
FUN_003517-T1 XP_014563021.1
FUN_003520-T1 XP_014563885.1
FUN_003527-T1 XP_014563101.1
FUN_003531-T1 XP_014562975.1
FUN_003543-T1 XP_014563100.1
FUN_003571-T1 XP_014563363.1
FUN_003573-T1 XP_014563330.1
FUN_003574-T1 XP_014563335.1
FUN_003575-T1 XP_014563071.1
FUN_003577-T1 XP_014563077.1
FUN_003578-T1 XP_014563079.1
FUN_003617-T1 XP_014564007.1
FUN_003618-T1 XP_014562879.1
FUN_003619-T1 XP_014563877.1
FUN_003621-T1 XP_014563598.1
FUN_003623-T1 XP_014563350.1
FUN_003624-T1 XP_014563348.1
FUN_003625-T1 XP_014564331.1
FUN_003627-T1 XP_014563347.1
FUN_003630-T1 XP_014563346.1
FUN_003631-T1 XP_014563344.1
FUN_003633-T1 XP_014563321.1
FUN_003637-T1 XP_014564463.1
FUN_003640-T1 XP_014563343.1
FUN_003647-T1 XP_014563340.1
FUN_003651-T1 XP_014563433.1
FUN_003652-T1 XP_014563336.1
FUN_003653-T1 XP_014563331.1
FUN_003657-T1 XP_014563327.1
FUN_003661-T1 XP_014563328.1
FUN_003695-T1 XP_014563320.1
FUN_003716-T1 XP_014563279.1
FUN_003717-T1 XP_014563319.1
FUN_003718-T1 XP_014563590.1
FUN_003725-T1 XP_014563311.1
FUN_003726-T1 XP_014563824.1
FUN_003732-T1 XP_014563312.1
FUN_003739-T1 XP_014564613.1
FUN_003743-T1 XP_014563659.1
FUN_003752-T1 XP_014563834.1
FUN_003756-T1 XP_014563315.1
FUN_003767-T1 XP_014563755.1
FUN_003771-T1 XP_014563361.1
FUN_003773-T1 XP_014563997.1
FUN_003774-T1 XP_014564346.1
FUN_003791-T1 XP_014562866.1
FUN_003799-T1 XP_014563374.1
FUN_003809-T1 XP_014563378.1
FUN_003815-T1 XP_014563379.1
FUN_003816-T1 XP_014563380.1
FUN_003818-T1 XP_014563554.1
FUN_003820-T1 XP_014563381.1
FUN_003824-T1 XP_014563383.1
FUN_003844-T1 XP_014563386.1
FUN_003846-T1 XP_014563384.1
FUN_003869-T1 XP_014563147.1
FUN_003889-T1 XP_014564350.1
FUN_003900-T1 XP_014563393.1
FUN_003901-T1 XP_014563394.1
FUN_003912-T1 XP_014563396.1
FUN_003934-T1 XP_014563275.1
FUN_003937-T1 XP_014563273.1
FUN_003942-T1 XP_014564047.1
FUN_003943-T1 XP_014564046.1
FUN_003948-T1 XP_014563269.1
FUN_003953-T1 XP_014563267.1
FUN_003964-T1 XP_014563979.1
FUN_003970-T1 XP_014563256.1
FUN_003976-T1 XP_014563257.1
FUN_003980-T1 XP_014563492.1
FUN_003983-T1 XP_014563338.1
FUN_003985-T1 XP_014563017.1
FUN_003988-T1 XP_014564515.1
FUN_003991-T1 XP_014563253.1
FUN_003996-T1 XP_014564261.1
FUN_003997-T1 XP_014563560.1
FUN_003998-T1 XP_014563248.1
FUN_004000-T1 XP_014563420.1
FUN_004032-T1 XP_014563224.1
FUN_004048-T1 XP_014563332.1
FUN_004050-T1 XP_014563225.1
FUN_004054-T1 XP_014563862.1
FUN_004067-T1 XP_014563233.1
FUN_004068-T1 XP_014563229.1
FUN_004070-T1 XP_014563220.1
FUN_004075-T1 XP_014563222.1
FUN_004076-T1 XP_014564453.1
FUN_004078-T1 XP_014563264.1
FUN_004079-T1 XP_014563216.1
FUN_004087-T1 XP_014563838.1
FUN_004096-T1 XP_014563714.1
FUN_004104-T1 XP_014563205.1
FUN_004107-T1 XP_014563204.1
FUN_004109-T1 XP_014563203.1
FUN_004112-T1 XP_014563202.1
FUN_004113-T1 XP_014563201.1
FUN_004116-T1 XP_014563200.1
FUN_004118-T1 XP_014563199.1
FUN_004119-T1 XP_014563197.1
FUN_004121-T1 XP_014563921.1
FUN_004122-T1 XP_014563212.1
FUN_004123-T1 XP_014563187.1
FUN_004124-T1 XP_014563188.1
FUN_004130-T1 XP_014562834.1
FUN_004135-T1 XP_014563191.1
FUN_004138-T1 XP_014563193.1
FUN_004139-T1 XP_014563038.1
FUN_004145-T1 XP_014563095.1
FUN_004146-T1 XP_014563086.1
FUN_004148-T1 XP_014563183.1
FUN_004150-T1 XP_014563185.1
FUN_004157-T1 XP_014563176.1
FUN_004161-T1 XP_014563175.1
FUN_004162-T1 XP_014563230.1
FUN_004166-T1 XP_014563033.1
FUN_004170-T1 XP_014563698.1
FUN_004173-T1 XP_014563180.1
FUN_004174-T1 XP_014564048.1
FUN_004175-T1 XP_014563181.1
FUN_004178-T1 XP_014562833.1
FUN_004179-T1 XP_014562832.1
FUN_004181-T1 XP_014563174.1
FUN_004190-T1 XP_014563556.1
FUN_004192-T1 XP_014564089.1
FUN_004203-T1 XP_014564090.1
FUN_004212-T1 XP_014563776.1
FUN_004214-T1 XP_014563811.1
FUN_004217-T1 XP_014563006.1
FUN_004227-T1 XP_014564359.1
FUN_004236-T1 XP_014563633.1
FUN_004245-T1 XP_014563171.1
FUN_004247-T1 XP_014563915.1
FUN_004265-T1 XP_014563777.1
FUN_004266-T1 XP_014563778.1
FUN_004271-T1 XP_014563772.1
FUN_004273-T1 XP_014564519.1
FUN_004275-T1 XP_014563769.1
FUN_004276-T1 XP_014563168.1
FUN_004278-T1 XP_014563166.1
FUN_004279-T1 XP_014564585.1
FUN_004280-T1 XP_014562949.1
FUN_004284-T1 XP_014563716.1
FUN_004286-T1 XP_014563722.1
FUN_004287-T1 XP_014563715.1
FUN_004288-T1 XP_014563713.1
FUN_004290-T1 XP_014563710.1
FUN_004294-T1 XP_014562931.1
FUN_004295-T1 XP_014563758.1
FUN_004297-T1 XP_014563706.1
FUN_004299-T1 XP_014563705.1
FUN_004300-T1 XP_014563768.1
FUN_004303-T1 XP_014564070.1
FUN_004304-T1 XP_014563711.1
FUN_004305-T1 XP_014563349.1
FUN_004307-T1 XP_014564543.1
FUN_004313-T1 XP_014563621.1
FUN_004314-T1 XP_014563258.1
FUN_004315-T1 XP_014563730.1
FUN_004320-T1 XP_014563699.1
FUN_004323-T1 XP_014564375.1
FUN_004325-T1 XP_014563680.1
FUN_004328-T1 XP_014563738.1
FUN_004331-T1 XP_014563737.1
FUN_004332-T1 XP_014563743.1
FUN_004334-T1 XP_014563131.1
FUN_004335-T1 XP_014564500.1
FUN_004336-T1 XP_014563747.1
FUN_004338-T1 XP_014563740.1
FUN_004339-T1 XP_014563746.1
FUN_004341-T1 XP_014563749.1
FUN_004342-T1 XP_014564044.1
FUN_004344-T1 XP_014563751.1
FUN_004345-T1 XP_014563272.1
FUN_004346-T1 XP_014563674.1
FUN_004347-T1 XP_014563739.1
FUN_004354-T1 XP_014563919.1
FUN_004356-T1 XP_014563753.1
FUN_004359-T1 XP_014563525.1
FUN_004360-T1 XP_014562947.1
FUN_004361-T1 XP_014563756.1
FUN_004362-T1 XP_014563102.1
FUN_004363-T1 XP_014563757.1
FUN_004364-T1 XP_014563721.1
FUN_004368-T1 XP_014563703.1
FUN_004370-T1 XP_014563720.1
FUN_004372-T1 XP_014563719.1
FUN_004375-T1 XP_014564525.1
FUN_004377-T1 XP_014563644.1
FUN_004378-T1 XP_014562985.1
FUN_004379-T1 XP_014563483.1
FUN_004382-T1 XP_014563726.1
FUN_004385-T1 XP_014563727.1
FUN_004406-T1 XP_014563682.1
FUN_004407-T1 XP_014563700.1
FUN_004410-T1 XP_014564189.1
FUN_004411-T1 XP_014564134.1
FUN_004412-T1 XP_014563246.1
FUN_004422-T1 XP_014563697.1
FUN_004427-T1 XP_014563696.1
FUN_004429-T1 XP_014564334.1
FUN_004430-T1 XP_014563725.1
FUN_004432-T1 XP_014563694.1
FUN_004433-T1 XP_014563684.1
FUN_004434-T1 XP_014563685.1
FUN_004435-T1 XP_014564439.1
FUN_004436-T1 XP_014563342.1
FUN_004439-T1 XP_014563689.1
FUN_004440-T1 XP_014563687.1
FUN_004442-T1 XP_014563043.1
FUN_004443-T1 XP_014563675.1
FUN_004447-T1 XP_014563670.1
FUN_004448-T1 XP_014563668.1
FUN_004454-T1 XP_014563666.1
FUN_004460-T1 XP_014563664.1
FUN_004461-T1 XP_014563661.1
FUN_004462-T1 XP_014563140.1
FUN_004463-T1 XP_014563701.1
FUN_004464-T1 XP_014563735.1
FUN_004466-T1 XP_014563678.1
FUN_004471-T1 XP_014563648.1
FUN_004473-T1 XP_014563657.1
FUN_004476-T1 XP_014563647.1
FUN_004477-T1 XP_014563660.1
FUN_004478-T1 XP_014563820.1
FUN_004479-T1 XP_014563819.1
FUN_004480-T1 XP_014563650.1
FUN_004481-T1 XP_014563770.1
FUN_004482-T1 XP_014563652.1
FUN_004487-T1 XP_014564252.1
FUN_004492-T1 XP_014563653.1
FUN_004493-T1 XP_014563655.1
FUN_004494-T1 XP_014563978.1
FUN_004500-T1 XP_014564093.1
FUN_004503-T1 XP_014563656.1
FUN_004504-T1 XP_014563080.1
FUN_004505-T1 XP_014562881.1
FUN_004507-T1 XP_014562933.1
FUN_004509-T1 XP_014563158.1
FUN_004512-T1 XP_014563646.1
FUN_004513-T1 XP_014563295.1
FUN_004515-T1 XP_014563184.1
FUN_004518-T1 XP_014563643.1
FUN_004523-T1 XP_014563565.1
FUN_004526-T1 XP_014563143.1
FUN_004527-T1 XP_014564092.1
FUN_004529-T1 XP_014563407.1
FUN_004535-T1 XP_014563298.1
FUN_004539-T1 XP_014563296.1
FUN_004543-T1 XP_014563293.1
FUN_004547-T1 XP_014563292.1
FUN_004551-T1 XP_014563291.1
FUN_004552-T1 XP_014564333.1
FUN_004553-T1 XP_014564327.1
FUN_004555-T1 XP_014564328.1
FUN_004558-T1 XP_014563290.1
FUN_004559-T1 XP_014564025.1
FUN_004561-T1 XP_014563289.1
FUN_004566-T1 XP_014563287.1
FUN_004567-T1 XP_014563288.1
FUN_004569-T1 XP_014563286.1
FUN_004570-T1 XP_014563285.1
FUN_004571-T1 XP_014563284.1
FUN_004574-T1 XP_014564565.1
FUN_004583-T1 XP_014564244.1
FUN_004591-T1 XP_014563002.1
FUN_004612-T1 XP_014563567.1
FUN_004613-T1 XP_014564494.1
FUN_004616-T1 XP_014563001.1
FUN_004618-T1 XP_014563039.1
FUN_004636-T1 XP_014563447.1
FUN_004641-T1 XP_014564491.1
FUN_004644-T1 XP_014564002.1
FUN_004650-T1 XP_014563198.1
FUN_004665-T1 XP_014563075.1
FUN_004667-T1 XP_014564487.1
FUN_004675-T1 XP_014564241.1
FUN_004679-T1 XP_014563422.1
FUN_004684-T1 XP_014564000.1
FUN_004687-T1 XP_014564104.1
FUN_004694-T1 XP_014563426.1
FUN_004695-T1 XP_014562951.1
FUN_004698-T1 XP_014563425.1
FUN_004699-T1 XP_014563972.1
FUN_004701-T1 XP_014562967.1
FUN_004703-T1 XP_014563065.1
FUN_004707-T1 XP_014563429.1
FUN_004711-T1 XP_014563430.1
FUN_004713-T1 XP_014563431.1
FUN_004726-T1 XP_014562965.1
FUN_004728-T1 XP_014563438.1
FUN_004730-T1 XP_014563011.1
FUN_004735-T1 XP_014563436.1
FUN_004745-T1 XP_014563435.1
FUN_004748-T1 XP_014563442.1
FUN_004750-T1 XP_014563443.1
FUN_004775-T1 XP_014563658.1
FUN_004780-T1 XP_014563444.1
FUN_004782-T1 XP_014564583.1
FUN_004797-T1 XP_014563450.1
FUN_004811-T1 XP_014563459.1
FUN_004812-T1 XP_014564518.1
FUN_004819-T1 XP_014563460.1
FUN_004824-T1 XP_014563462.1
FUN_004828-T1 XP_014563054.1
FUN_004831-T1 XP_014564024.1
FUN_004833-T1 XP_014563463.1
FUN_004834-T1 XP_014562893.1
FUN_004836-T1 XP_014564318.1
FUN_004839-T1 XP_014563469.1
FUN_004841-T1 XP_014563533.1
FUN_004842-T1 XP_014563470.1
FUN_004843-T1 XP_014563974.1
