FUN_004868-T1 M896_020140
FUN_004170-T1 M896_050630
FUN_004173-T1 M896_090630
FUN_004174-T1 M896_042060
FUN_004175-T1 M896_090640
FUN_004178-T1 M896_120080
FUN_004179-T1 M896_120070
FUN_004181-T1 M896_090570
FUN_004190-T1 M896_060120
FUN_004192-T1 M896_030320
FUN_004203-T1 M896_030330
FUN_004212-T1 M896_051430
FUN_004214-T1 M896_051780
FUN_004217-T1 M896_121870
FUN_004227-T1 M896_021560
FUN_004236-T1 M896_060920
FUN_004245-T1 M896_090530
FUN_004247-T1 M896_040680
FUN_004265-T1 M896_051440
FUN_004266-T1 M896_051450
FUN_004271-T1 M896_051390
FUN_004273-T1 M896_011310
FUN_004275-T1 M896_051360
FUN_004276-T1 M896_090500
FUN_004278-T1 M896_090480
FUN_004279-T1 M896_011990
FUN_004280-T1 M896_121300
FUN_004284-T1 M896_050810
FUN_004286-T1 M896_050870
FUN_004287-T1 M896_050800
FUN_004288-T1 M896_050780
FUN_004290-T1 M896_050750
FUN_004294-T1 M896_121110
FUN_004295-T1 M896_051250
FUN_004297-T1 M896_050710
FUN_004299-T1 M896_050700
FUN_004300-T1 M896_051350
FUN_004303-T1 M896_030130
FUN_004304-T1 M896_050760
FUN_004305-T1 M896_080410
FUN_004307-T1 M896_011550
FUN_004313-T1 M896_060790
FUN_004314-T1 M896_091440
FUN_004315-T1 M896_050960
FUN_004320-T1 M896_050640
FUN_004323-T1 M896_021720
FUN_004325-T1 M896_050450
FUN_004328-T1 M896_051040
FUN_004331-T1 M896_051030
FUN_004332-T1 M896_051100
FUN_004334-T1 M896_090120
FUN_004335-T1 M896_011120
FUN_004336-T1 M896_051140
FUN_004338-T1 M896_051070
FUN_004339-T1 M896_051130
FUN_004341-T1 M896_051160
FUN_004342-T1 M896_042020
FUN_004344-T1 M896_051180
FUN_004345-T1 M896_091580
FUN_004346-T1 M896_050380
FUN_004347-T1 M896_051060
FUN_004354-T1 M896_040720
FUN_004356-T1 M896_051200
FUN_004359-T1 M896_070510
FUN_004360-T1 M896_121280
FUN_004361-T1 M896_051230
FUN_004362-T1 M896_100440
FUN_004363-T1 M896_051240
FUN_004364-T1 M896_050860
FUN_004368-T1 M896_050680
FUN_004370-T1 M896_050850
FUN_004372-T1 M896_050840
FUN_004375-T1 M896_011370
FUN_004377-T1 M896_050050
FUN_004378-T1 M896_121660
FUN_004379-T1 M896_070070
FUN_004382-T1 M896_050910
FUN_004385-T1 M896_050920
FUN_004406-T1 M896_050470
FUN_004407-T1 M896_050650
FUN_004410-T1 M896_031340
FUN_004411-T1 M896_030790
FUN_004412-T1 M896_091320
FUN_004422-T1 M896_050620
FUN_004427-T1 M896_050610
FUN_004429-T1 M896_021300
FUN_004430-T1 M896_050900
FUN_004432-T1 M896_050590
FUN_004433-T1 M896_050490
FUN_004434-T1 M896_050500
FUN_004435-T1 M896_010490
FUN_004436-T1 M896_080340
FUN_004439-T1 M896_050540
FUN_004440-T1 M896_050520
FUN_004442-T1 M896_110310
FUN_004443-T1 M896_050390
FUN_004447-T1 M896_050340
FUN_004448-T1 M896_050320
FUN_004454-T1 M896_050300
FUN_004460-T1 M896_050280
FUN_004461-T1 M896_050250
FUN_004462-T1 M896_090220
FUN_004463-T1 M896_050660
FUN_004464-T1 M896_051010
FUN_004466-T1 M896_050430
FUN_004471-T1 M896_050100
FUN_004473-T1 M896_050200
FUN_004476-T1 M896_050090
FUN_004477-T1 M896_050240
FUN_004478-T1 M896_051870
FUN_004479-T1 M896_051860
FUN_004480-T1 M896_050130
FUN_004481-T1 M896_051370
FUN_004482-T1 M896_050150
FUN_004487-T1 M896_020460
FUN_004492-T1 M896_050160
FUN_004493-T1 M896_050180
FUN_004494-T1 M896_041330
FUN_004500-T1 M896_030360
FUN_004503-T1 M896_050190
FUN_004504-T1 M896_100220
FUN_004505-T1 M896_120580
FUN_004507-T1 M896_121140
FUN_004509-T1 M896_090400
FUN_004512-T1 M896_050080
FUN_004513-T1 M896_091830
FUN_004515-T1 M896_090680
FUN_004518-T1 M896_050040
FUN_004523-T1 M896_060210
FUN_004526-T1 M896_090250
FUN_004527-T1 M896_030350
FUN_004529-T1 M896_081010
FUN_004535-T1 M896_091860
FUN_004539-T1 M896_091840
FUN_004543-T1 M896_091800
FUN_004547-T1 M896_091790
FUN_004551-T1 M896_091780
FUN_004552-T1 M896_021290
FUN_004553-T1 M896_021230
FUN_004555-T1 M896_021240
FUN_004558-T1 M896_091760
FUN_004559-T1 M896_041810
FUN_004561-T1 M896_091750
FUN_004566-T1 M896_091730
FUN_004567-T1 M896_091740
FUN_004569-T1 M896_091720
FUN_004570-T1 M896_091710
FUN_004571-T1 M896_091700
FUN_004574-T1 M896_011780
FUN_004583-T1 M896_020360
FUN_004591-T1 M896_121830
FUN_004612-T1 M896_060230
FUN_004613-T1 M896_011060
FUN_004616-T1 M896_121820
FUN_004618-T1 M896_110260
FUN_004636-T1 M896_081410
FUN_004641-T1 M896_011030
FUN_004644-T1 M896_041580
FUN_004650-T1 M896_090820
FUN_004665-T1 M896_100170
FUN_004667-T1 M896_010980
FUN_004675-T1 M896_020330
FUN_004679-T1 M896_081160
FUN_004684-T1 M896_041560
FUN_004687-T1 M896_030480
FUN_004694-T1 M896_081200
FUN_004695-T1 M896_121320
FUN_004698-T1 M896_081190
FUN_004699-T1 M896_041270
FUN_004701-T1 M896_121480
FUN_004703-T1 M896_100070
FUN_004707-T1 M896_081230
FUN_004711-T1 M896_081240
FUN_004713-T1 M896_081250
FUN_004726-T1 M896_121460
FUN_004728-T1 M896_081320
FUN_004730-T1 M896_121920
FUN_004735-T1 M896_081300
FUN_004745-T1 M896_081290
FUN_004748-T1 M896_081360
FUN_004750-T1 M896_081370
FUN_004775-T1 M896_050210
FUN_004780-T1 M896_081380
FUN_004782-T1 M896_011970
FUN_004797-T1 M896_081460
FUN_004811-T1 M896_081570
FUN_004812-T1 M896_011300
FUN_004819-T1 M896_081580
FUN_004824-T1 M896_081600
FUN_004828-T1 M896_110420
FUN_004831-T1 M896_041800
FUN_004833-T1 M896_081610
FUN_004834-T1 M896_120710
FUN_004836-T1 M896_021140
FUN_004839-T1 M896_081670
FUN_004841-T1 M896_070590
FUN_004842-T1 M896_081680
FUN_004843-T1 M896_041290
